Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s]
250,1.245,878.543791,1.123136,2.981185,2.358053
251,1.25,866.984005,1.133425,2.992974,2.357507
252,1.255,832.304644,1.143439,3.004761,2.356977
253,1.26,901.663365,1.153655,3.016544,2.356436
254,1.265,878.543791,1.164141,3.028325,2.355878
255,1.27,866.984005,1.174421,3.040103,2.355332
256,1.275,843.864431,1.184494,3.051878,2.354798
257,1.28,832.304644,1.19436,3.063651,2.354276
258,1.285,843.864431,1.204225,3.075421,2.353754
259,1.29,843.864431,1.214155,3.087188,2.353228
260,1.295,924.782938,1.224559,3.098953,2.352674
261,1.3,890.103578,1.235232,3.110715,2.352105
262,1.305,913.223151,1.245835,3.122474,2.35154
263,1.31,866.984005,1.256299,3.134231,2.350982
264,1.315,878.543791,1.266557,3.145984,2.350436
265,1.32,866.984005,1.276813,3.157735,2.349891
266,1.325,855.424218,1.28693,3.169483,2.349353
267,1.33,843.864431,1.29691,3.181228,2.348823
268,1.335,924.782938,1.307294,3.192971,2.348269
269,1.34,913.223151,1.318083,3.204711,2.347692
270,1.345,913.223151,1.328802,3.216448,2.347119
271,1.35,936.342725,1.339653,3.228182,2.346537
272,1.355,890.103578,1.350366,3.239913,2.345964
273,1.36,878.543791,1.360738,3.251642,2.345411
274,1.365,832.304644,1.370769,3.263368,2.344877
275,1.37,890.103578,1.380865,3.275091,2.344339
276,1.375,901.663365,1.391365,3.286811,2.343777
277,1.38,913.223151,1.401997,3.298528,2.343208
278,1.385,890.103578,1.41256,3.310243,2.342642
279,1.39,924.782938,1.423188,3.321955,2.342073
280,1.395,901.663365,1.433881,3.333664,2.3415
281,1.4,971.022085,1.444842,3.34537,2.340911
282,1.405,982.581872,1.456273,3.357073,2.340294
283,1.41,936.342725,1.467499,3.368773,2.339689
284,1.415,924.782938,1.478384,3.38047,2.339104
285,1.42,913.223151,1.48913,3.392164,2.338527
286,1.425,890.103578,1.499672,3.403855,2.337961
287,1.43,913.223151,1.510211,3.415543,2.337396
288,1.435,866.984005,1.520612,3.427229,2.336838
289,1.44,936.342725,1.531146,3.438912,2.336273
290,1.445,924.782938,1.542015,3.450592,2.335688
291,1.45,924.782938,1.552814,3.462269,2.335107
292,1.455,959.462298,1.563812,3.473943,2.334514
293,1.46,924.782938,1.574808,3.485614,2.333921
294,1.465,924.782938,1.585598,3.497282,2.33334
295,1.47,913.223151,1.596319,3.508947,2.332762
296,1.475,936.342725,1.607104,3.52061,2.332181
297,1.48,994.141658,1.618358,3.532269,2.331572
298,1.485,959.462298,1.629744,3.543925,2.330956
299,1.49,913.223151,1.640655,3.555579,2.330367
300,1.495,890.103578,1.65116,3.567229,2.329801
301,1.5,890.103578,1.661528,3.578877,2.329244
302,1.505,878.543791,1.671826,3.590521,2.32869
303,1.51,866.984005,1.681986,3.602164,2.328144
